,index,note length,pitch
0,1,-1.0,-7.0
1,3,2.0,2.0
2,5,-3.0,-2.0
3,7,-1.0,2.0
4,9,0.0,3.0
5,11,1.0,2.0
6,13,-0.0,-7.0
7,15,2.0,2.0
8,17,-2.0,0.0
9,19,-1.0,5.0
10,21,1.0,2.0
11,23,1.0,1.0
12,25,-1.0,-2.0
13,27,0.0,2.0
14,29,0.0,2.0
15,31,0.0,-4.0
16,33,1.0,-5.0
17,35,-2.0,-3.0
18,37,1.0,2.0
19,39,0.0,-7.0
20,41,0.0,2.0
21,43,-1.0,-3.0
22,45,0.0,3.0
23,47,1.0,-6.0
24,49,1.0,-1.0
25,51,-2.0,8.0
26,53,0.0,5.0
27,55,1.0,5.0
28,57,1.0,2.0
29,59,1.0,-5.0
30,61,-2.0,-2.0
31,63,-1.0,5.0
32,65,1.0,2.0
33,67,0.0,5.0
34,69,-1.0,-2.0
35,71,2.0,-3.0
36,73,-2.0,-2.0
37,75,2.0,2.0
38,77,1.0,-5.0
39,79,-2.0,-3.0
40,81,0.0,4.0
41,83,0.0,3.0
42,85,0.0,-1.0
43,87,0.0,-2.0
44,89,0.0,-2.0
45,91,0.0,2.0
46,93,0.0,-2.0
47,95,-0.0,-2.0
48,97,0.0,-3.0
49,99,0.0,5.0
50,101,0.0,-3.0
51,103,0.0,-4.0
52,105,0.0,5.0
53,107,0.0,-1.0
54,109,1.0,-4.0
55,111,-2.0,-5.0
56,113,0.0,1.0
57,115,0.0,1.0
58,117,0.0,2.0
59,119,0.0,3.0
60,121,-0.0,1.0
61,123,0.0,2.0
62,125,0.0,2.0
63,127,0.0,2.0
64,129,3.0,1.0
65,131,-3.0,-2.0
66,133,1.0,-5.0
67,135,2.0,2.0
68,137,-3.0,7.0
69,139,1.0,1.0
70,141,0.0,2.0
71,143,0.0,2.0
72,145,-0.0,-2.0
73,147,0.0,-2.0
74,149,0.0,-1.0
75,151,0.0,1.0
76,153,0.0,-3.0
77,155,-2.0,-2.0
78,157,0.0,2.0
79,159,0.0,5.0
80,161,0.0,-3.0
81,163,0.0,-2.0
82,165,0.0,-2.0
83,167,0.0,5.0
84,169,0.0,-1.0
85,171,-1.0,-4.0
86,173,1.0,2.0
87,175,-1.0,-4.0
88,177,0.0,-1.0
89,179,1.0,-2.0
90,181,-1.0,5.0
91,183,1.0,-1.0
92,185,-0.0,-6.0
93,187,1.0,5.0
94,189,-1.0,2.0
95,191,-1.0,1.0
96,193,1.0,2.0
97,195,0.0,-3.0
98,197,0.0,-2.0
99,199,-1.0,-7.0
100,201,1.0,6.0
101,203,-0.0,-7.0
102,205,1.0,2.0
103,207,-1.0,-5.0
104,209,-1.0,2.0
105,211,0.0,1.0
106,213,-0.0,2.0
107,215,1.0,2.0
108,217,0.0,1.0
109,219,0.0,2.0
110,221,0.0,2.0
111,223,1.0,2.0
112,225,-1.0,2.0
113,227,1.0,4.0
114,229,0.0,3.0
115,231,0.0,-5.0
116,233,0.0,-2.0
117,235,0.0,-5.0
118,237,0.0,7.0
119,239,0.0,-2.0
120,241,0.0,-5.0
121,243,-1.0,-5.0
122,245,-0.0,2.0
123,247,0.0,7.0
124,249,1.0,1.0
125,251,-2.0,-1.0
126,253,0.0,-1.0
127,255,1.0,-1.0
128,257,1.0,-2.0
129,259,-1.0,-2.0
130,261,0.0,2.0
131,263,0.0,0.0
132,265,0.0,0.0
133,267,1.0,0.0
134,269,-2.0,-7.0
135,271,0.0,4.0
136,273,2.0,1.0
137,275,2.0,-3.0
138,277,-3.0,6.0
139,279,0.0,2.0
140,281,1.0,-2.0
141,283,-0.0,-3.0
142,285,2.0,-2.0
143,287,-3.0,1.0
144,289,1.0,7.0
145,291,0.0,-4.0
146,293,-0.0,-1.0
147,295,0.0,-2.0
148,297,-1.0,1.0
149,299,0.0,2.0
150,301,2.0,-2.0
151,303,-1.0,3.0
152,305,0.0,4.0
153,307,-0.0,3.0
154,309,0.0,3.0
155,311,2.0,-2.0
156,313,-3.0,-1.0
157,315,0.0,-1.0
158,317,0.0,-2.0
159,319,0.0,-4.0
160,321,1.0,-3.0
161,323,-1.0,8.0
162,325,0.0,-2.0
163,327,2.0,-5.0
164,329,-3.0,1.0
165,331,0.0,7.0
166,333,0.0,-3.0
167,335,2.0,-2.0
168,337,-2.0,1.0
169,339,2.0,2.0
170,341,-2.0,-2.0
171,343,-0.0,3.0
172,345,0.0,-2.0
173,347,0.0,-3.0
174,349,2.0,-3.0
175,351,-3.0,8.0
176,353,0.0,-5.0
177,355,0.0,-3.0
178,357,1.0,-3.0
179,359,1.0,-1.0
180,361,-1.0,11.0
181,363,-0.0,-5.0
182,365,1.0,-3.0
183,367,-2.0,-3.0
184,369,0.0,5.0
185,371,1.0,1.0
186,373,0.0,-1.0
187,375,1.0,-7.0
188,377,0.0,2.0
189,379,-3.0,1.0
190,381,0.0,2.0
191,383,0.0,2.0
192,385,3.0,1.0
193,387,-2.0,-3.0
194,389,0.0,2.0
195,391,0.0,5.0
196,393,-1.0,3.0
197,395,0.0,2.0
198,397,1.0,2.0
199,399,-1.0,-2.0
200,401,0.0,-2.0
201,403,0.0,-1.0
202,405,0.0,-1.0
203,407,0.0,3.0
204,409,0.0,-2.0
205,411,-1.0,-3.0
206,413,1.0,-2.0
207,415,0.0,5.0
208,417,0.0,1.0
209,419,-1.0,-1.0
210,421,-0.0,-1.0
211,423,1.0,4.0
212,425,-1.0,-2.0
213,427,0.0,-3.0
214,429,1.0,-2.0
215,431,0.0,5.0
216,433,0.0,-5.0
217,435,-0.0,1.0
218,437,0.0,2.0
219,439,0.0,-7.0
220,441,1.0,5.0
221,443,-1.0,-2.0
222,445,1.0,-6.0
223,447,-1.0,6.0
224,449,0.0,2.0
225,451,0.0,5.0
226,453,2.0,-2.0
227,455,-2.0,5.0
228,457,1.0,3.0
229,459,1.0,-7.0
230,461,-1.0,-1.0
231,463,-1.0,3.0
232,465,1.0,5.0
233,467,2.0,-7.0
234,469,-3.0,-2.0
235,471,0.0,2.0
236,473,0.0,0.0
237,475,0.0,3.0
238,477,0.0,-1.0
239,479,0.0,-2.0
240,481,1.0,-2.0
241,483,-1.0,-5.0
242,485,0.0,5.0
243,487,0.0,2.0
244,489,0.0,1.0
245,491,0.0,2.0
246,493,0.0,-3.0
247,495,0.0,-2.0
248,497,0.0,-2.0
249,499,0.0,-3.0
250,501,0.0,-2.0
251,503,0.0,-3.0
252,505,2.0,5.0
253,507,-2.0,9.0
254,509,0.0,2.0
255,511,0.0,2.0
256,513,0.0,2.0
257,515,3.0,-7.0
258,517,-3.0,2.0
259,519,0.0,2.0
260,521,0.0,2.0
261,523,0.0,0.0
262,525,0.0,0.0
263,527,0.0,0.0
264,529,-0.0,0.0
265,531,0.0,0.0
266,533,0.0,0.0
267,535,1.0,0.0
268,537,1.0,-3.0
269,539,-2.0,0.0
270,541,1.0,6.0
271,543,2.0,-8.0
272,545,-3.0,1.0
273,547,1.0,4.0
274,549,1.0,-7.0
275,551,-2.0,2.0
276,553,0.0,2.0
277,555,0.0,-2.0
278,557,0.0,-2.0
279,559,0.0,-1.0
280,561,0.0,-1.0
281,563,0.0,4.0
282,565,0.0,-3.0
283,567,0.0,-2.0
284,569,0.0,-2.0
285,571,-0.0,5.0
286,573,0.0,-1.0
287,575,0.0,-4.0
288,577,0.0,2.0
289,579,0.0,-4.0
290,581,1.0,-3.0
291,583,0.0,5.0
292,585,0.0,-3.0
293,587,-0.0,-4.0
294,589,0.0,5.0
295,591,0.0,2.0
296,593,0.0,1.0
297,595,0.0,2.0
298,597,1.0,2.0
299,599,1.0,-5.0
300,601,-2.0,1.0
301,603,0.0,2.0
302,605,0.0,-7.0
303,607,0.0,2.0
304,609,0.0,3.0
305,611,0.0,-2.0
306,613,1.0,-3.0
307,615,-1.0,1.0
308,617,0.0,2.0
309,619,0.0,2.0
310,621,1.0,5.0
311,623,0.0,-2.0
312,625,0.0,-3.0
313,627,-0.0,-2.0
314,629,0.0,-2.0
315,631,1.0,7.0
316,633,-1.0,-1.0
317,635,0.0,2.0
318,637,-0.0,1.0
319,639,0.0,2.0
320,641,0.0,-3.0
321,643,0.0,-2.0
322,645,0.0,-2.0
323,647,-0.0,-3.0
324,649,0.0,-2.0
325,651,-1.0,-3.0
326,653,0.0,5.0
327,655,0.0,5.0
328,657,0.0,-3.0
329,659,2.0,-4.0
330,661,-1.0,2.0
331,663,0.0,3.0
332,665,0.0,-1.0
333,667,-0.0,-2.0
334,669,0.0,-2.0
335,671,-0.0,-1.0
336,673,0.0,3.0
337,675,0.0,-1.0
338,677,0.0,-1.0
339,679,-0.0,-5.0
340,681,0.0,-3.0
341,683,0.0,5.0
342,685,0.0,-2.0
343,687,0.0,-7.0
344,689,0.0,2.0
345,691,-0.0,5.0
346,693,0.0,4.0
347,695,0.0,3.0
348,697,0.0,5.0
349,699,0.0,0.0
350,701,0.0,0.0
351,703,-0.0,0.0
352,705,0.0,0.0
353,707,0.0,0.0
354,709,1.0,0.0
355,711,-1.0,0.0
356,713,-0.0,0.0
357,715,0.0,0.0
358,717,-0.0,0.0
359,719,0.0,0.0
360,721,0.0,0.0
361,723,0.0,0.0
362,725,0.0,0.0
363,727,1.0,0.0
364,729,0.0,0.0
365,731,0.0,0.0
366,733,1.0,-7.0
367,735,-1.0,8.0
368,737,0.0,2.0
369,739,0.0,-2.0
370,741,0.0,0.0
371,743,0.0,0.0
372,745,0.0,0.0
373,747,-0.0,0.0
374,749,0.0,0.0
375,751,1.0,0.0
376,753,-1.0,2.0
377,755,0.0,1.0
378,757,1.0,1.0
379,759,-1.0,1.0
380,761,0.0,1.0
381,763,1.0,2.0
382,765,0.0,-5.0
383,767,-2.0,5.0
384,769,0.0,3.0
385,771,2.0,-1.0
386,773,-1.0,-9.0
387,775,1.0,7.0
388,777,2.0,-5.0
389,779,-3.0,-2.0
390,781,0.0,2.0
391,783,-0.0,0.0
392,785,0.0,3.0
393,787,0.0,-1.0
394,789,0.0,-2.0
395,791,0.0,-2.0
396,793,-1.0,-1.0
397,795,0.0,-1.0
398,797,1.0,4.0
399,799,-1.0,-2.0
400,801,0.0,-3.0
401,803,0.0,-2.0
402,805,-0.0,5.0
403,807,0.0,-5.0
404,809,-0.0,1.0
405,811,0.0,2.0
406,813,0.0,-7.0
407,815,0.0,1.0
408,817,1.0,4.0
409,819,-1.0,-2.0
410,821,0.0,-6.0
411,823,0.0,4.0
412,825,-0.0,3.0
413,827,0.0,1.0
414,829,0.0,5.0
415,831,0.0,-2.0
416,833,0.0,-3.0
417,835,1.0,-2.0
418,837,0.0,5.0
419,839,0.0,1.0
420,841,-1.0,-4.0
421,843,0.0,-1.0
422,845,1.0,-2.0
423,847,-1.0,5.0
424,849,0.0,-2.0
425,851,1.0,-2.0
426,853,0.0,-1.0
427,855,-0.0,-3.0
428,857,1.0,6.0
429,859,-2.0,5.0
430,861,0.0,2.0
431,863,2.0,2.0
432,865,-0.0,0.0
433,867,-1.0,0.0
434,869,0.0,0.0
435,871,1.0,0.0
436,873,-1.0,0.0
437,875,2.0,0.0
438,877,-1.0,-3.0
439,879,0.0,1.0
440,881,2.0,-3.0
441,883,-1.0,-5.0
442,885,-1.0,1.0
443,887,-0.0,2.0
444,889,0.0,-7.0
445,891,0.0,2.0
446,893,0.0,3.0
447,895,-0.0,-1.0
448,897,0.0,-2.0
449,899,0.0,-2.0
450,901,0.0,-2.0
451,903,0.0,4.0
452,905,-0.0,-1.0
453,907,0.0,-1.0
454,909,-0.0,-5.0
455,911,0.0,-3.0
456,913,0.0,5.0
457,915,0.0,-2.0
458,917,-0.0,-6.0
459,919,0.0,1.0
460,921,0.0,3.0
461,923,0.0,2.0
462,925,1.0,2.0
463,927,0.0,5.0
464,929,0.0,5.0
465,931,1.0,-3.0
466,933,-1.0,-5.0
467,935,0.0,5.0
468,937,0.0,8.0
469,939,-1.0,-2.0
470,941,2.0,-2.0
471,943,-0.0,-3.0
472,945,-2.0,-2.0
473,947,0.0,2.0
474,949,0.0,5.0
475,951,-0.0,-2.0
476,953,0.0,-3.0
477,955,0.0,-2.0
478,957,0.0,-1.0
479,959,1.0,6.0
480,961,0.0,5.0
481,963,0.0,-7.0
482,965,0.0,1.0
483,967,0.0,7.0
484,969,-1.0,0.0
485,971,1.0,0.0
486,973,-1.0,-3.0
487,975,2.0,2.0
488,977,0.0,-2.0
489,979,-2.0,-4.0
490,981,2.0,3.0
491,983,-1.0,-3.0
492,985,1.0,-4.0
493,987,-2.0,-3.0
494,989,2.0,5.0
495,991,-2.0,-4.0
496,993,1.0,7.0
