,note length,pitch
0,1.0,1.0
1,-1.0,4.0
2,0.0,3.0
3,2.0,2.0
4,-2.0,-2.0
5,2.0,1.0
6,0.0,7.0
7,-1.0,-3.0
8,1.0,1.0
9,0.0,-5.0
10,0.0,-2.0
11,0.0,7.0
12,-2.0,-3.0
13,2.0,1.0
14,-1.0,-9.0
15,0.0,2.0
16,0.0,-2.0
17,0.0,-1.0
18,-1.0,3.0
19,2.0,2.0
20,-1.0,2.0
21,0.0,3.0
22,-1.0,-1.0
23,2.0,-1.0
24,-1.0,2.0
25,0.0,1.0
26,0.0,2.0
27,0.0,2.0
28,1.0,-4.0
29,0.0,3.0
30,-1.0,-2.0
31,0.0,-5.0
32,-1.0,-4.0
33,0.0,-3.0
34,1.0,-3.0
35,0.0,-2.0
36,-1.0,10.0
37,2.0,1.0
38,-2.0,-1.0
39,0.0,-2.0
40,0.0,-4.0
41,0.0,-4.0
42,0.0,4.0
43,0.0,1.0
44,0.0,4.0
45,-1.0,-4.0
46,1.0,2.0
47,-0.0,5.0
48,0.0,-1.0
49,0.0,1.0
50,0.0,-2.0
51,0.0,-3.0
52,0.0,1.0
53,0.0,-3.0
54,0.0,2.0
55,-1.0,-2.0
56,1.0,2.0
57,1.0,1.0
58,-1.0,2.0
59,0.0,1.0
60,0.0,-2.0
61,0.0,1.0
62,0.0,-4.0
63,0.0,-1.0
64,0.0,-2.0
65,0.0,5.0
66,0.0,-2.0
67,0.0,-3.0
68,-1.0,1.0
69,2.0,1.0
70,-1.0,3.0
71,0.0,2.0
72,0.0,2.0
73,0.0,3.0
74,0.0,-1.0
75,0.0,-1.0
76,-1.0,2.0
77,2.0,1.0
78,-1.0,2.0
79,0.0,2.0
80,0.0,-4.0
81,0.0,-1.0
82,0.0,-2.0
83,0.0,-3.0
84,0.0,1.0
85,0.0,3.0
86,0.0,-3.0
87,0.0,1.0
88,0.0,-2.0
89,0.0,-3.0
90,0.0,1.0
91,0.0,1.0
92,0.0,-4.0
93,0.0,2.0
94,1.0,-3.0
95,-1.0,3.0
96,0.0,2.0
97,0.0,1.0
98,-1.0,2.0
99,1.0,2.0
100,0.0,2.0
101,-1.0,1.0
102,0.0,1.0
103,1.0,2.0
104,0.0,-8.0
105,-1.0,13.0
106,2.0,0.0
107,0.0,1.0
108,-0.0,-4.0
109,-0.0,-1.0
110,0.0,-2.0
111,0.0,-2.0
112,0.0,-1.0
113,0.0,-1.0
114,0.0,4.0
115,0.0,-5.0
116,0.0,-1.0
117,0.0,-1.0
118,0.0,1.0
119,0.0,-4.0
120,0.0,-2.0
121,-1.0,-2.0
