,note length,pitch
0,-1.2,-2.0
1,0.6,-1.0
2,1.2,-2.0
3,-1.4,1.8
4,0.0,2.8
5,0.0,-2.0
6,0.0,2.8
7,0.0,1.8
8,0.0,1.8
9,-1.0,-2.0
10,2.2,-2.0
11,-1.4,1.8
12,-1.0,-1.0
13,0.8,0.8
14,0.6,1.8
15,-0.4,0.8
16,-1.0,-8.0
17,1.4,2.8
18,-1.0,3.8
19,0.0,-2.0
20,0.0,-2.0
21,-1.0,-3.0
22,0.8,1.8
23,0.4,-2.0
24,-0.6,-2.0
25,0.0,0.0
26,0.0,-1.0
27,-1.0,0.8
28,0.8,1.8
29,0.0,-1.0
30,0.0,-1.0
31,0.0,-3.0
32,0.0,-2.0
33,0.0,-2.0
34,0.4,1.8
35,-1.0,-2.0
36,0.8,1.8
37,1.0,-2.0
38,-1.6,3.8
39,0.0,-1.0
40,0.0,-1.0
41,0.0,1.8
42,0.0,0.8
43,0.0,1.8
44,0.4,0.8
45,-1.0,-2.0
46,0.4,0.8
47,0.0,-2.0
48,0.0,-1.0
49,0.0,2.8
50,0.4,1.8
51,-1.0,-2.0
52,1.4,3.8
53,-1.0,0.8
54,0.0,-1.0
55,0.4,-2.0
56,-1.0,0.8
57,1.0,0.8
58,-1.6,-7.0
59,2.8,2.8
60,-1.0,-7.0
61,-1.0,3.8
62,1.4,-2.0
63,-0.6,4.8
64,-1.0,8.8
65,0.0,0.8
66,0.0,-1.0
67,0.0,-2.0
68,0.0,0.8
69,0.0,0.8
70,0.0,-2.0
71,0.0,-2.0
72,0.0,-2.0
73,0.0,0.8
74,0.0,-2.0
75,0.0,-1.0
76,0.0,0.0
77,0.0,2.8
78,-1.0,-2.0
79,2.8,1.8
80,-3.0,-2.0
81,1.4,2.8
82,-1.0,-3.0
83,1.0,1.8
84,-1.6,-2.0
85,0.8,2.8
86,0.0,-1.0
87,0.0,-2.0
88,0.0,-1.0
89,1.8,5.8
90,-2.0,1.8
91,0.0,-2.0
92,0.0,-3.0
93,0.0,-2.0
94,0.8,-2.0
95,-1.0,1.8
96,0.0,-2.0
97,0.0,2.8
98,0.0,-1.0
99,0.8,-2.0
100,0.0,0.8
101,0.8,0.8
102,-2.6,-5.0
103,0.0,4.8
104,0.4,-3.0
105,0.0,0.8
106,0.0,0.8
107,0.0,-2.0
108,0.0,-2.0
109,-1.0,-1.0
110,0.8,2.8
111,1.2,-2.0
112,-2.4,0.0
113,1.8,2.8
114,-1.0,1.8
115,0.0,-2.0
116,0.0,-1.0
117,0.0,0.8
118,0.4,-1.0
119,-1.0,-1.0
120,0.4,-1.0
121,0.0,1.8
122,0.4,0.8
123,-1.0,0.8
124,0.4,0.8
125,0.0,1.8
126,0.8,0.8
127,0.4,1.8
128,-1.6,4.8
129,0.0,-3.0
130,1.4,-2.0
131,-1.6,-3.0
132,0.0,-2.0
133,0.0,-2.0
134,0.0,1.8
135,-1.0,1.8
136,0.0,0.8
137,0.8,-1.0
138,0.4,0.8
139,-0.4,0.8
140,-1.0,0.8
141,0.0,-3.0
142,0.4,-4.0
143,0.0,-3.0
144,0.4,2.8
145,-1.6,-2.0
146,0.8,0.8
147,0.0,-1.0
148,0.0,-1.0
149,0.0,3.8
150,0.0,2.8
151,0.0,3.8
152,0.8,2.8
153,-0.6,1.8
154,-1.6,-2.0
155,1.4,-3.0
156,-1.6,-4.0
157,0.8,1.8
158,1.4,1.8
159,-1.6,-7.0
160,0.0,2.8
161,0.0,-3.0
162,0.0,-2.0
163,0.0,4.8
164,0.0,-1.0
165,0.0,0.8
166,0.0,1.8
167,0.0,-2.0
168,0.8,-3.0
169,0.0,-2.0
170,0.0,0.0
171,-1.0,1.8
172,0.0,2.8
173,0.8,1.8
174,0.0,1.8
175,0.0,0.0
176,-1.0,0.8
177,0.0,-1.0
178,0.0,-1.0
179,0.0,-2.0
180,0.8,0.8
181,0.2,0.0
182,-1.4,-2.0
183,-1.0,-4.0
184,1.4,-3.0
185,-1.0,-5.0
186,2.0,3.8
187,-2.6,0.8
188,0.8,0.8
189,0.0,1.8
190,0.0,0.8
191,0.0,2.8
192,0.0,2.8
193,0.0,-2.0
194,0.4,-3.0
195,-1.0,-5.0
196,0.4,6.8
197,-1.0,0.8
198,0.0,-1.0
199,0.8,-2.0
200,0.0,2.8
201,0.0,-3.0
202,0.0,-4.0
203,0.0,-5.0
204,0.0,-3.0
205,0.8,6.8
206,-0.6,-2.0
207,-0.6,4.8
208,0.0,0.0
209,0.8,0.8
210,0.0,0.0
211,0.2,0.8
212,-1.4,0.0
213,-1.0,0.0
214,1.8,0.8
215,0.8,1.8
216,-1.6,-3.0
217,-0.2,-2.0
218,-0.4,-3.0
219,-1.0,0.8
220,0.8,3.8
221,0.0,2.8
222,1.8,1.8
223,-2.0,-2.0
224,0.0,-4.0
225,0.0,-3.0
226,0.0,5.8
227,0.0,-2.0
228,0.0,0.8
229,0.0,0.8
230,0.0,-2.0
231,0.0,-2.0
232,0.0,-3.0
233,0.4,-2.0
234,-1.6,-2.0
235,0.8,1.8
236,0.0,-2.0
237,0.0,1.8
238,0.8,-2.0
239,-1.0,0.0
240,0.8,3.8
241,0.8,2.8
242,-2.0,8.8
243,0.0,2.8
244,-1.0,0.8
245,0.0,-1.0
246,0.8,-3.0
247,0.4,-2.0
248,-0.6,-2.0
249,-1.0,1.8
250,0.8,1.8
251,0.4,0.8
252,-0.6,-3.0
253,-1.0,0.8
254,0.8,0.8
255,0.0,-2.0
256,0.0,-2.0
257,0.0,-4.0
258,0.8,-4.0
259,-1.0,4.8
260,0.0,-5.0
261,0.4,4.8
262,0.0,2.8
263,-1.0,-3.0
264,0.0,0.8
265,0.4,0.8
266,0.0,-1.0
267,0.0,-1.0
268,0.0,1.8
269,0.8,0.8
270,-1.0,1.8
271,0.0,1.8
272,0.8,0.8
273,0.0,1.8
274,0.0,4.8
275,-1.0,-5.0
276,0.8,-2.0
277,-1.0,-3.0
278,0.0,-2.0
279,1.4,8.8
280,-1.6,-2.0
281,0.0,-2.0
282,0.0,-1.0
283,0.0,-2.0
284,0.0,-1.0
285,0.0,-2.0
286,0.0,0.8
287,0.0,-2.0
288,0.0,-3.0
289,0.0,0.8
290,0.4,0.8
291,-1.6,-2.0
292,1.4,-3.0
293,-1.0,0.8
294,0.4,0.8
295,1.2,-2.0
296,-2.4,1.8
297,1.4,4.8
298,0.4,-2.0
299,-2.0,1.8
